datum	nev	helyszin
1973.06.03	Monacoi	Monaco
1965.07.18	Holland	Hollandia
1988.07.10	Brit	Nagy-Britannia
1991.09.29	Spanyol	Spanyolorsz?g
1986.09.21	Portug?l	Portug?lia
1978.07.16	Brit	Nagy-Britannia
1992.05.31	Monacoi	Monaco
1981.03.29	Brazil	Braz?lia
2003.03.23	Mal?j	Malaysia
2004.07.11	Brit	Nagy-Britannia
1996.04.07	Argent?n	Argent?na
2005.10.16	K?nai	K?na
1963.12.28	D?l-Afrikai	D?l-Afrika
1965.09.12	Olasz	Olaszorsz?g
1952.08.17	Holland	Hollandia
1973.05.20	Belga	Belgium
1983.04.17	Francia	Franciaorsz?g
1991.04.28	San Marinoi	San Marino
1999.09.12	Olasz	Olaszorsz?g
1987.07.12	Brit	Nagy-Britannia
1982.07.18	Brit	Nagy-Britannia
2002.04.28	Spanyol	Spanyolorsz?g
1975.04.27	Spanyol	Spanyolorsz?g
2006.05.14	Spanyol	Spanyolorsz?g
1964.10.25	Mexik?i	Mexik?
1968.07.07	Francia	Franciaorsz?g
1961.05.14	Monacoi	Monaco
1978.07.30	N?met	N?metorsz?g
1976.08.01	N?met	N?metorsz?g
1995.08.13	Magyar	Magyarorsz?g
2000.03.12	Ausztr?l	Ausztr?lia
2003.09.14	Olasz	Olaszorsz?g
1966.05.22	Monacoi	Monaco
1981.08.02	N?met	N?metorsz?g
1986.07.27	N?met	N?metorsz?g
1994.05.01	San Marinoi	San Marino
1996.10.13	Jap?n	Jap?n
1992.07.05	Francia	Franciaorsz?g
1992.04.05	Brazil	Braz?lia
1981.09.13	Olasz	Olaszorsz?g
2002.10.13	Jap?n	Jap?n
1957.08.04	N?met	N?metorsz?g
1997.03.09	Ausztr?l	Ausztr?lia
1998.08.30	Belga	Belgium
1962.06.17	Belga	Belgium
1966.06.12	Belga	Belgium
1958.09.07	Olasz	Olaszorsz?g
1977.07.31	N?met	N?metorsz?g
1978.08.13	Osztr?k	Ausztria
1959.05.30	Indy 500	USA
1987.09.20	Portug?l	Portug?lia
2005.05.22	Monacoi	Monaco
1952.07.06	Francia	Franciaorsz?g
1994.09.25	Portug?l	Portug?lia
2005.10.09	Jap?n	Jap?n
1973.01.28	Argent?n	Argent?na
1977.09.11	Olasz	Olaszorsz?g
1986.10.12	Mexik?i	Mexik?
1951.05.27	Sv?jci	Sv?jc
2001.04.01	Brazil	Braz?lia
1977.08.28	Holland	Hollandia
1995.04.30	San Marinoi	San Marino
1997.03.30	Brazil	Braz?lia
1951.05.30	Indy 500	USA
2002.06.09	Kanadai	Kanada
